博主,博文,日期,转发数,评论数,点赞数
四川日报,#2017两会#【首席脱口秀：公交车共享车，能否跑出“成都蓝”？】共享单车进入成都，3个月投放32万多辆，累计被骑行2000多万次。它的走红，不仅归功于技术和创新，更重要的是人们环保意识的觉醒。打赢蓝天保卫战，不仅要靠党委政府，还需每个人都行动起来，为雾霾治理出一份力。网页链接 ,2017-03-10 09:30,19,8,19
德清广电网,德清县绿化委员会联合德清传媒集团新媒体部、青禾公益组织的植树节送树苗活动人气火爆，市民都来抢要，说明大家的都有一颗爱护环境的热心。本次送的树苗是浙江楠和红豆杉。治理雾霾，美化环境从为家乡种下一棵树开始。明天上午十点，正翔商业（沃尔玛）广场再送几百棵。 ,2017-03-10 09:14,1,,
星期八夜色下的伪装,作为面对雾霾天想活着好一点的人，专家说：禁止呼吸可以根本上防止雾霾危害，作为想毕业需要做实验室的学生，领导却说：为了安全，实验设施必须少开！ ,2017-03-10 09:07,,2,1
日照统计,#两会# 【院士建议攻克雾霾形成机理 李克强:谁攻克奖谁】3月9日上午，李克强在陕西代表团参加审议时，中国科学院院士、中科院地球环境研究所所长周卫健代表举手大声说。周院士发言的主题是建议集中多学科科学家攻克“我国北方雾霾的成因、发展趋势、环境影响与应对”研究项目。周卫健介绍，现在针对空 ,2017-03-10 09:05,1,,3
呼和浩特身边事,#呼和浩特身边事# 【终于等到你！冷空气吹来高颜值呼市蓝】初春的呼和浩特如此美好，当雾霾散去，蓝天、白云，这份纯净显得更加弥足珍贵！ 好美！via张昊聪 秒拍视频 ,2017-03-10 08:48,6,4,15
侠女论股V,【“煤改气”政策持续利好 天然气板块有望爆发】“两会”有望以《天然气发展十三五规划》为依据，进一步确认以京津冀、长三角、珠三角、东北地区为重点，推进重点城市“煤改气”工程，发展天然气替代能源，从而协助实现雾霾治理。燃气行业相关概念在“两... 网页链接 ,2017-03-10 08:21,,,4
牛市sky,治理雾霾被当成一个重要议题在会上讨论，反复研究、治理困难、限煤限车等各种方法，可我就纳闷了，治理这么难，雾霾的原因一直找不到，为什么一开会天气就好了呢？你们聊，我妈叫我呢，说该吃药了！ ,2017-03-10 08:18,1,8,7
西安啊嘟嘟,#奔跑吧高新# 高新区大力推进森林城市创建工作，进一步用绿化、公园建设等扮靓城市，同时运用科学管理手段，不断抑制和减少雾霾，加强城市治理，完善基础设施;让高新区的城市环境不断提升。#美丽西安# 《西安闹市区竟然隐藏着 这几条花海大街 你知道吗》 |西安闹市区... ,2017-03-10 08:17,1,1,1
林庆宾律师,#实时拍济南雾霾# 3月10日早六点数据，PM2.5  50微克每立方米，图三为郎茂山公园南门。任何一件事情，只要心甘情愿，总是能够变得简单。早安，童鞋们！ |济南·中海... ,2017-03-10 07:32,,,1
上半串儿糖葫芦,《西红柿鸡蛋打卤通心粉》丢不掉的永远丢不掉该来的翻腾翻腾来的倒也顺畅怀念着雾霾拌卤煮一股脑儿把通心粉倒入西红柿鸡蛋卤,2017-03-10 07:28,1,3,1
黄淮学院学生会组织部ZZ,#早安，大组织部# 你总要留一些回忆，总要留给自己美好的瞬间，不要太在意别人怎么恶意攻击，你要做的一身轻，雾霾总会随你绕着走，不要在意你失去多少，经历是生活的里程碑、奠基石。早安！ ,2017-03-10 07:03,4,1,43
诗文海阳,虽然说萨德是美国的透视眼镜部署在韩国可以偷窥中国，但是萨德绝对不是没有办法对付的。因为透视眼镜最怕的是雾霾，只要中国用电磁对萨德实施干扰的话，那么就等同于给萨德透视眼镜制造了雾霾。韩国和日本还真把萨德当成威胁朝鲜和中国宝贝了，其实韩国人被美国和日本耍了。因为美国和日本不愿意看到韩 ,2017-03-10 02:09,2,,10
青争想放风筝,#在湘潭边吸雾霾边编段子#有时我们像两辆环卫车，一来一往地往对方的后车厢倾倒废物。然后有一没一地吐着柴油燃烧产生黑烟回应。神奇得像两条车轨不相交而能并排向前。 ,2017-03-10 00:19,,,1
Li阿琳儿,可能是因为喝茶，让我稍微沉稳一些，又或者是长得太着急，比我大的比我小的都喊我姐姐，满是雾霾的天气唯有老白茶，它是我的最爱，应该说是咽炎患茶友的最爱，都说春天来啦，你看花儿都开好了，就是冷你在宜宾的春天 ,2017-03-10 00:00,1,6,2
翊然徐彳余,记一日。见得人感叹，自己是舟车劳顿与感冒袭击，一路上与吴先生聊天，也觉得好玩。城市生活的智慧可能我还没有，恶劣天气，雨水连连，雾霾阵阵，车水马龙，食物也是冰冷无情，感觉随便去哪里吃都比那些精致菜肴而寡淡无味来的好。我还是躲起来，躲在家里，躲在山野里，躲在吴先生的背后好了。 ,2017-03-09 23:53,,,2
厌学小学生,最近的天气好得不像话暖暖的风和晴朗的天好像那个终日被雾霾笼罩的城市是梦境一样整个人也莫名开始发懒时不时就开始放空,2017-03-09 23:51,,3,2
小射手DE狮子妈,臭宝儿从两岁两个月半月开始感觉突然长大了，现在能跟你左一句右一句来回对话了，有时候会突然蹦出来一些新词而且用的还挺恰当感觉很有意思。会根据天气情况说：又出太阳了、又刮风了、又雾霾了之类。昨天下午睡得晚，醒来已经黑天了，跟他爹视频说：睡觉睡的天都黑了。有想吃的东 ,2017-03-09 23:10,1,3,3
林庆宾律师,#实时拍济南雾霾#3月9日晚22点数据，PM2.5  58微克每立方米。 现实中难免会有很多的不如意，在踏上社会前，我们每个人都是梦想家。在踏上社会后，一般都只剩下了想家。这要求你必须学会把想家当动力，能保持心中的梦。不然，可能慢慢会变成窝在家无所事事的废柴了。晚安，各位小主！ ,2017-03-09 22:50,,,1
一棵蒜苗,我小时候喜欢的动画片，买来给小朋友。讲到第三本了，他对这一节尤其感兴趣，翻来覆去的提问，不明白为啥要把巴巴一家的房子拆了，于是他娘我从拆迁与城市化进程讲到土地收益再到开发商和政府的关系及钉子户的抗争，最后捎上雾霾，讲的口干舌燥，娃儿终于表示听懂了， ,2017-03-09 22:46,,1,2
我叫Ring,航拍中国哔哩哔哩弹幕观后感海南：美美美陕西：美美美新疆：美美美黑龙江：美美美江西：美美美,2017-03-09 22:43,2,2,2
刘著民,#民言民语# 估计要尴尬。在中国雾霾因为神秘（天气预报都不准出现“雾霾”两字）所以无解了。 ,2017-03-09 22:38,3,1,
渴赖迩,发现了 近未来科幻小说其实就是恐怖小说 看了两篇 一篇讲大数据进化 精准推送定制广告词给每个人 逼死每个人 另一篇讲雾霾进化 人类只能生活在地洞里或玻璃罩子中 一年只有36小时可以外出 #第四届豆瓣阅读征文大赛# ,2017-03-09 22:29,1,,
新浪视频,#两会同期声#【足球、雾霾、片酬 80秒看今天部长委员都说了啥】许家印谈中国足球发展在青少年，国资委副主任讲央企重组，李彦宏说不要认为民营企业鼠目寸光，《闯关东》编剧斥“小鲜肉”高片酬，环保部长陈吉宁告诉你治理雾霾要多长时间。精彩回顾：足球、雾霾... ,2017-03-09 22:26,16,11,25
Marge1995,给大家推荐两个冷知识博（播）主。第一位是@航运漫画家K老师 ，特点是以漫画和表情包的形式，通俗诙谐地解读严肃的实事热点，比如雾霾，多倍杠杆，假公章等等，不知道比只会哈哈哈的段子手高到哪里去了。第二位是Youtube播主“啾啾鞋”，是个台湾的化学系理工男，经常对生活中常见却被忽略的冷知识给 ,2017-03-09 22:12,,,2
笑看先生S,每天看看自己前几年的这一天在做什么是件挺有意思的事儿，还要顺便想想当时在做要做的事情后来怎么样了，自己比那会儿有没有进步，那会在一起的情人朋友合作者还有没有在一起，在一起多珍惜，没在一起是为什么，有没有教训可吸取，思考才可以能有进步。这是北京有雾霾从来唯一一次带口罩，因为要走五 ,2017-03-09 22:09,,14,14
花径边的鼠尾草,有人说：为什么反对韩国的萨得;不反对朝鲜的核武？答;反对朝鲜就等于反对自己。 北京人特纳闷，为什么两会期间没雾霾了？ ,2017-03-09 22:01,,,5
山东环境,【院士代表建议攻克雾霾形成机理 李克强：谁攻克，重奖谁！】“总理，我想发言！”3月9日上午，李克强在陕西代表团参加审议时，中国科学院院士、中科院地球环境研究所所长周卫健代表举手大声说。|院士代表建... ,2017-03-09 22:00,112,,23
麦烧同学,是时候再次祭出复旦大学的论文了：《雾霾治理中的“政治性蓝天”—来自中国地方“ 两会” 的证据》，结论： 两会期间的空气质量改善更多体现在与地方政府考核的指标上，两会过后空气质量迅速恶化，且恶化程度较会议期间的改善更为严重 ，政治性蓝天是以政治事件过后更严重的报复性污染为代价的。 ,2017-03-09 21:58,4,5,1
河南新闻广播,#2017全国两会#【院士代表建议攻克雾霾形成机理 李克强：谁攻克，重奖谁！】“总理，我想发言！”3月9日上午，李克强在陕西代表团参加审议时，中国科学院院士、中科院地球环境研究所所长周卫健代表举手大声说。|院士代表建... ,2017-03-09 21:51,9,,31
美国侨报网,#雾霾笼罩# 【中国雾霾如何治？环保部长告诉你】陈吉宁说，2016年，中国74个重点城市，除了北京之外，所有控制PM2.5的地区，在过去的三年里都减少了30%以上。一般来讲，环境问题不是短期两三年可以解决的，需要一个比较长的时间。网页链接 ,2017-03-09 21:42,1,1,1
大掌门Ren,以前高中的时候，心情不好了就喜欢一个人大晚上在操场待一会儿。然而现在心情不好了都不想出去待会儿，因为郑州的雾霾太严重了，呛得肺疼，熏得眼泪流。 ,2017-03-09 21:22,,10,6
芦文小在,今天天气弥漫着像雪般的微雨，夹着14度的气温，心情也如同气温般低，可一旦拿起画笔，雾霾般的心情突然就如拨开乌云的彩虹似的了。看来注定一辈子做个画画民工了！有兴趣的同志们，咱们一起搬画板吧，可好？ ,2017-03-09 21:13,,4,1
木子火火小花花_EvaLee,提前预支明天的谁知道明晚我会不会又偷懒毕竟周末容祖儿的烟霞 看评论说粤语的烟霞就是雾霾的意思粤语歌词总能表达出国语表达不出来的韵味歌词太长啦抄抄不想抄了然后还抄错一个字原谅我@萤萤萤萤火虫er @庚记也是Enchancer #手写微博##一起练字# ,2017-03-09 21:10,,2,8
我没钱可我想旅行,在一月的冬季逃离雾霾 逃离2016 去仙本那过个夏天（谢谢 柚子不带皮 的投稿） ,2017-03-09 21:01,12,5,37
品尚映画摄影--名辉,雾霾太大 ,2017-03-09 20:32,,2,6
罗妮zyzyyuan,很有意思，老师说大数据发现雾霾比较严重的时候，电影正好上映，北京的票房增长趋势就明显不如武汉。也就是说发行方跟院线撕档期，还得先看天气预报…… ,2017-03-09 20:17,1,4,3
上海电台新闻编辑室,0309#当事者说# 近年来，雾霾对人体健康的危害日益为人所知。“十面霾伏”中，许多长期露天作业的劳动者们却鲜见防护。本次两会上，委员们将关爱的目光投向了这一群体。有委员提出：“必要时可为露天劳动者发放‘雾霾津贴’”。发放雾霾津贴，你支持吗？雾霾天又该如何做好劳动保护呢？ ,2017-03-09 20:14,1,4,1
梦祈言,#薛之谦##薛之谦初学者#歌词很喜欢像海浪撞过了山丘以后还能撑多久他可能只为你赞美一句后往回流那娇艳的花盛开后等你来能撑多久还是被诗人折断了伤心了换歌词一首,2017-03-09 20:04,1,3,17
巴小树,啊怎么说呢，没有雾霾的北京让人舒服得简直觉得是前世的定情地～还有，今天去见了漂亮的好姑娘～原来天会变蓝，好姑娘也会幸福～ ,2017-03-09 19:50,1,1,6
Slag_w,网络真是个好东西，说话都可以不要脑子不要脸了！南昌还不够好？有水有山，说渔米之乡都不为过，也没有雾霾呛死你，有地铁坐堵不死你。你要说社会风气，戳母娘怎么了？前前后后听了20年，cnm不是脏话？龟儿子不脏？你要觉得自己高尚，把你嘴里的屎擦干净先，别装圣母表！还南昌鬼子，老区人民咋了？刨 ,2017-03-09 18:56,2,12,19
_____________________菠萝多肉,“涉及到民生的事，雾霾、污染、教育、医疗，你永远看不到爱国者上街。只要是抵制外国，他们一个个的就像打了鸡血。其实，爱国之前他们早有利害得失的权衡和算计，他们非常清楚权力允许什么、喜欢什么，哪种表演没有危险……然后把欺软怕硬的尿性展现的淋漓尽致……这些“爱国贼”，在日本叫法西斯，在 ,2017-03-09 18:50,2,1,4
设计老铁,北京人很纳闷儿：为什么两会期间没雾霾了？答：因为能吹的人都来北京了。 转 ,2017-03-09 18:38,3,5,18
江喃长安,央视的《朗读者》，这节目如同一股清流让你对很多事情很多人很多圈子有崭新的希望，如同雾霾中里的难得的一口清新的空气。 ,2017-03-09 18:12,,3,2
ing樱,这两天的忐忑到此为止，湛江的雨季有股谈谈的惆怅，希望阳光赶紧照进我们的心里，驱散雾霾，照亮心情！ |湛江·湛江... ,2017-03-09 18:09,,2,2
草原雄狮001,A股之所以一直弱势，根本原因就是市场的主力一直看空后市，他们每刻都杞人忧天，如坐针毡，抑郁的心情如雾霾。管理层要做的就是治疗这种抑郁症，赋之正能量，使其树立信心!信心比黄金更重要。要深刻吸取近2年股灾的沉痛教训，严厉打击做空能量，积累正能量，从而激发人气，促进A股健康发展。 ,2017-03-09 18:04,4,,
崔星星Stephanie,说好的铜火锅和夜生活呢天气很好没雾霾 |北京·南航... ,2017-03-09 18:02,1,11,22
尊上樽杯饮,第一天来#手机摄影#签到，只是喜欢拍我的城市，蓝蓝的天空、雾霾下的天空、又或者暴雨来临之前的天空以后我会每天来签到发几张并不专业却想与你们分享的河北保定不知道为什么特别喜欢这种没有叶子的树枝，感觉是 ,2017-03-09 17:57,1,1,2
天津供电服务,【关于新能源，你想了解的一切都在这里】京津冀雾霾总是一波未平一波又起，唯有新能源，才是解决环境污染问题的良方。我国新能源发展的怎么样呢？能力君给你详细的解答。关于我国各类新能源的装机容量、发电量以及能源分布，多有详细、靠谱、简洁的说明，拿走，不谢！|关于新能源...（国家电网杂 ,2017-03-09 17:24,7,7,5
洹河淇水,发表了博文《别南达》凶悍石壕吏，屡将外籍排。留君违国法，别汝亦伤怀。缅北皆烽火，朔方有雾霾。温良一佛子，流落向荒垓。“中国妈妈”犹在耳，生离已到眼前来。痛心南达之去。|别南达 ,2017-03-09 16:46,1,,
WWWangxun,所以说在郊区也是有好处的是吗，这一层雾霾，可怕 |沈阳·沈阳... ,2017-03-09 16:41,,4,11
CarinoGatto,#黄轩# 感觉他温暖，却并不算阳光。不过鉴于他在北京，那么厚的雾霾，连老天爷都阳光不起来，我就不要求爱豆阳光了。能温暖就不错了。@黄轩的微博 希望金星秀别聊家人过世和初期的不顺。不能总回忆不开心的往事，不利于心理健康。聊聊恋情吧，喜闻乐见啊 ,2017-03-09 16:23,3,21,24
杨培芳新经济视点,莫道京城雾霾重，尽看玉兰沐春风。 ,2017-03-09 15:44,13,7,6
内蒙古工业大学微博协会,【高颜值！蓝天美景#内蒙古工业大学#等你来 】当雾霾散去，蓝天白云如鱼儿浮出水面一般显露出来，来自呼和浩特的纯真风气又回来了。看这才是青城呼和浩特，这是我的家呼和浩特，这是我的校园内蒙古工业大学。via张昊聪 秒拍视频 . ,2017-03-09 15:21,17,2,49
魏雨萱,MOTHER MAY I～曼谷的一家网红餐厅，不过我是跑去喝下午茶的！超美的餐厅，分明一座小花园。特别想生活在一年四季都很暖和的地方，可以随时在室外吃饭聊天，想想北京的冬天，穿着秋裤顶着高原红还要喝着风吃着雾霾……幻灭…… ,2017-03-09 15:14,,45,78
咸吃萝bu淡操心,草民百姓，天下事国家事，让那些贪官污吏们去管吧，就算倒退个百八十年，什么八国联军，什么日本侵占我国土，只要屠刀没砍到我脑袋上，别人当汉奸，你我也当呗，那么，萨德与你我也没关系喽，转基因别人能吃咱也吃，什么雾霾不雾霾的，毒奶粉不毒奶粉的，这不大家都还没死吗？又不是王八能活千年对吧 ,2017-03-09 15:12,1,,1
榆林气象,【治污降霾 保卫蓝天】保卫蓝天，从我做起；治污降霾，没有旁观者！今日上午，由市委宣传部、市环保局、市气象局等部门举办的“治污降霾 保卫蓝天”全民行动主题展览活动在世纪广场举行，并在活动现场向公众发放了《“治污降霾保卫蓝天”宣传手册》，呼吁公众共同行动起来，为雾霾防治作出自己的贡献。 ,2017-03-09 14:51,1,,1
Www_xl,感冒感冒感冒 鼻炎鼻炎鼻炎鼻涕直流 可能要晕倒了吧生无可恋北京的风吹的我超想回去吸大西安的雾霾 |北京·崇文... ,2017-03-09 14:22,,8,1
泥瑜,这里是#西双版纳##穿越北纬21度#远离喧嚣，告别雾霾，穿越热带雨林，徜徉在天然氧吧。 ,2017-03-09 14:04,1,2,7
Y_木南Power,早上上班路上闻到了一种熟悉的味道，这种味道让我恍惚觉得是在去拍婚纱照的路上…也许是经历了一个冬天的雾霾的原因，今年我特别喜欢这春天的太阳，感觉一切都能重新开始，想要勇敢努力的好好生活。 ,2017-03-09 13:53,,4,1
脑浆浓汤,呼~~~~明天开始回到认真生活的道道~希望小栀栀快点开花继续当兔子吃生菜胡萝卜，乖乖练字（是真他妈丑…）还有讲真真哦，每次见朋友圈有以前同学酸北京的天气雾霾啥的，反正我觉得挺好的，北京春天和初秋的天都超级超级瓦蓝瓦蓝 ,2017-03-09 13:35,,,4
王少在放牛,【还我一篇蓝天】这个概念是不久前才有的，就是为了制造蓝天，原理雾霾。说来说去还是环保，午后市场发动了一波锂电池的拉升集聚了一定的市场人气，参与价值不高，个人感觉不会是大热。【涨价题材】钴概念格林美的拉升好像还没有让市场充分的挖掘涨价题材的商机。因为有色金属期货已经进入了大2浪的调 ,2017-03-09 13:31,,,14
韩姨在此,北京也是这么晴天吗？有雾霾嘛？ ,2017-03-09 12:47,,22,34
奈何缘浅缘何情深,#新浪#作为知名媒介，@新浪 之前删除我关于雾霾的视频也就罢了，毕竟是“为人民服雾”。但今天在巴萨翻盘后，竟然容忍或说纵容发布如此不专业的新闻，而且经常蓄意挑动巴萨和皇马，勇士和骑士对立球迷之对立情绪，以拉低自身底线方式博取高关注度。谁惯的毛病？发完此微即卸载，再也不用此无良媒介产品 ,2017-03-09 12:28,,,
钮问,几个有趣的数据：1.十亿美元富豪北京最多，为什么大家都喜欢住雾霾之都2.白首起家女富豪中国最多，中国女性牛逼我的女粉们，点个赞，让我45度角仰望下你们 ,2017-03-09 12:27,1,35,62
二次元危险领域,莽原雄狮昨天 17:30来自天涯随记:我就想问问作为屁民的你，雾霾你不抵制，毒食品你不抵制，污染水你不抵制，垃圾教育你不抵制医疗问题你不？因为你他妈的不敢！连个屁都不敢放事关你个人利益和生命的问题你不抵制反倒抵制千里之外的韩国？你脑子让狗啃啦？就算你抵制全世界你就能得到新鲜空气和安全食 ,2017-03-09 11:55,1,,
黎不开你的黎黎,#我买自己的时间## 今天天气好棒，心情也好起来，自己动手切了很多水果，在盘子里摆啊摆。别人拼的再美也是别人的，自己做的再丑，也是自己弄的，瞟一眼窗外，木有雾霾，微风拂面，再看一眼地上昏睡的丢丢，满足。。想起马无敌的，"欢欢喜喜过生活"，过生活，用心感受。。 ,2017-03-09 11:30,,2,2
邱雯在美国,老美珍妮的男朋友有派去上海工作的机会，她也可能跟随去。但担心雾霾，问我意见。上海还好吧。 ,2017-03-09 11:27,3,16,2
小林子是是也,闲来无事整理下过年在三亚照片～带咪哆在那里躲了一个月雾霾，小宝贝玩的很嗨 ,2017-03-09 10:49,,5,10
高阳gary,老板最新赏赐！黄花梨雕件+欧洲7国钱币+最少7年以上的纯正魔都雾霾灰……这种混搭，充满着后现代主义的对这个世界的控诉及对新生的向往……求知音……[捂脸][捂脸][捂脸] ,2017-03-09 10:38,,3,12
是黄建亮,我站在陌生城市漂着汽车尾气和不知是雾霾还是沙土的广场面对着每天都在疯长的高层大楼，吃着一片味道怪异的轰趴大鱿鱼喝着一罐从超市买来的黑色啤酒，看着广场上各色衣服的人走来走去风一吹，酒洒了一地。 ,2017-03-09 10:37,,2,24
深圳身边事,#深圳生活#【深圳治理雾霾有多拼，连 BBC 都点赞了】英国广播公司网站3月7日报道， 作为中国首批 "低碳城市"，执行城市发展新概念，深圳治理空气污染取得了显著的成效，优秀的城市规划，严格的空气质量法规，辅助执法的大数据是深圳治理雾霾的武器。BBC报道截图，描绘了一个人与自然的和谐深圳。 ,2017-03-09 10:13,5,8,16
渭南市政法委,【打响蓝天保卫战 渭南中院在行动】（图） - 李克强总理在作政府工作报告时指出，对雾霾要铁腕治理，坚决打好蓝天保卫战，为积极响应中、省、市委“蓝天保卫战”，号召，建设富裕、美丽、幸福的新渭南，3月8日上午，渭南中院组织40余名法官干警驱车深入南塬荒沟参加义务... 网页链接 ,2017-03-09 10:10,1,,1
尹君同學,荆州人信汇出事情了。我也是昨天翻朋友圈才知道。现在的戾气像雾霾一样，到处都是。 ,2017-03-09 10:06,,8,18
每日甘肃网,自打2011年退休后，只要不是雨雪天气，家住西站的魏建华几乎每天早上都会去滨河路锻炼，每天傍晚也会去滨河路散步。“头顶着蓝天白云，呼吸着清新的空气，整个人都神清气爽的。”要是说金城这些年来碧水蓝天的变化，在兰州土生土长60多年的魏建华最有发言权。 |远离雾霾，... ,2017-03-09 10:06,11,1,3
友邦小葱,还记得年底雾霾侵袭的恐慌吧，友情提醒，这时买净化器，霾表，选择性大，服务好，物流快，价位低 ,2017-03-09 10:00,6,2,
街头潮流,再活五百年雾霾版，听完感觉呼吸也不敢大口的呼吸了秒拍视频 #街头潮流# ,2017-03-09 09:30,1,1,2
hy青山,#成都雾霾#记录第六十三天。成都美领馆监测点美国标准早8点数据。中度污染。PS：Airvisual死活没更新，在网上搜的数据。 ,2017-03-09 09:24,,,3
你好兰州,【兰州远离雾霾，碧海蓝天空气好】湛蓝的天空下，美丽的金城黄河两岸。　　“魏叔，又去锻炼了，今天去哪儿了？”　　“去了趟黄河母亲，天暖和了，树都发芽了，春天要来了……”　　自打2011年退休后，只要不是雨雪天气，家住兰州西站的魏建华几乎每天早上都会去滨河路锻炼，每天傍晚也会去滨河 ,2017-03-09 08:59,,,6
战略与房产投资-武汉楼市,大师：现在还能继续投资海南么？答：北京现在已经没有雾霾啦！大师：苏州现在能买吗？答：捡漏行情！大师：环京还能投资么？答：长期投资无忧，不能介意短期波动。大师：你曾预测南京在强二线中将提前回暖，现在又出现了炒房号，是否意味回暖了,2017-03-09 08:42,5,17,7
李玹雨我们合八字吧,一大早醒过来就看到有人在矫情~喜欢谁不喜欢谁哪来那么多借口和理由感情控制的还真是来去自如大概要成仙了吧速断了七情六欲吧又不是大腿退圈，搞个冠冕堂皇的理由，搞得还挺轰轰烈烈不喜欢就不喜欢呗，偷摸的退了大家以后还能好好相处，这搞得非要留下一片雾霾再 ,2017-03-09 08:24,,6,5
海风吹过喜马拉雅,都说北京的雾霾严重，可是和石家庄比较，北京这天气也太好了！不是一星半点的好！吸过石家庄的霾来了北京简直就是神清气爽！#我的生活态度# ,2017-03-09 08:17,1,2,
原来是在在的木头人,中华圈的红，就有如于雾霾一样毒，因为做出各种不尊重金在中的事，所以更多真正爱他的饭才会越来越多的人来抵制红色，而选择只爱他的绿色，不知道原因的人，只信团邪的一面之词，怼麻麻的人，你们是真的爱金在中还是爱的颜色呢 ,2017-03-09 08:11,4,2,16
成都之阙,#一目了然##蔚蓝地图#今日AQI、水质、废气、废水。第575天发布成都环境数据。雾霾会影响人的脑子吗？我觉得会@成都环保 @四川环保 @蔚蓝地图 @四川发布 @成都发布 @see官方微博 @米瑞蓉 @公众环境马军 @中国环境新闻 @环保部发布 ,2017-03-09 07:29,3,,1
日经技术在线,被冤枉的私家车，该平反了--不知微博为什么要禁，不就是说了工业污染才是雾霾的真正祸魁？不然这篮那蓝的时候让工厂停工算哪门子事！ |被冤枉的私... ,2017-03-09 07:19,36,28,32
暮凝19,在等什么呢 是南极的花 机场的船 是雾霾夜里的流星 盲人心中的风景 是已经丢失在路上的信 ,2017-03-09 03:18,1,1,2
EligayTfrhne,雾霾天阳光下解剖 ,2017-03-09 00:43,1,5,82
山供诗笔总眉愁,一个默温，我抽的关键字，赤总想的梗。关键字：社交网络 老司机 责任默苍离实在受不了这个乌烟瘴气的网吧，点了一下“盗才生”这个账号然后选择了下线。从一阵烟雾缭绕里走出来时，街头已经黑了。他第一次来这座二线城市，环境不太好，白天是雾霾遮掩的远山淡影，夜晚是不见星子的墨漆天空，人间却 ,2017-03-08 23:25,1,1,1
林庆宾律师,#实时拍济南雾霾# 3月8日22点数据，PM2.5  45微克每立方米  夜幕降临，睡眠来伴，一天劳累，就此停止，一天好坏，从心放下;不思烦恼，莫念忧愁，心无挂碍，入睡安然。晚安济南！ |济南·市中... ,2017-03-08 23:10,,3,1
影视影响力回归,听了太多的好评才来看的，然后也就这样吧，作为一个国家的宣传片，乌鲁木齐，哈尔滨这样的雾霾城市，摄影组为啥不选一个好天气拍呢？对于强迫症患者来说，受不了全片美景突然给我来几个难受的雾霾镜头啊，还有在b站上开弹幕看的，真受不了b站上的“爱国者”，武统台湾，开干毛子夺回海参崴，傻逼… ,2017-03-08 23:07,1,1,6
托妮林,打开微信满屏翻滚着：“女神节快乐！”明明今天是三八妇女节啊，静静的想想这女神节道也贴题。为了纪念首个“女神节”咱也来凑凑气氛，把前几天在雾霾中拍摄的宜昌磨基山公园观景台的照片抛出来让大家看看，咱女神的家乡在雾霾中也是美仑美奂的如仙境般美丽。 ,2017-03-08 22:37,,,3
延安青年,#延安印象#醉是一抹圣地蓝，十里桃花犹不及这个春天，似乎等了好久，因为刚刚过去的那个冬天，我们要戴着pm2.5口罩出门，很多城市都无法呼吸，雾霾席卷了大半个中国。终于等到你，我的春天里，此时，你在寻找十里桃花的烂漫还是杨柳吐蕊的生机？在延安，这一片圣地蓝才是真正的向往。 ,2017-03-08 22:19,2,,
天若有情天亦恼,我的存款无法在这个靠海的城市拥有一片海，就像我的眼睛无法在一只蝴蝶的翅膀里拥有春天，在雾霾的北京拥有一片蓝，在爱你的生命里拥有一生所爱。选自剧本～《白蛇传》 ,2017-03-08 22:08,1,,2
沪跑团,#约跑不能停# 《20170309周四——用一颗海洋之心拥抱全世界》（约跑小提示：每次约跑前最好提前咨询各约跑点联系人或加入QQ群，询问约跑是否如期举行，以免跑空如遇中雨及中度以上雾霾或其他恶劣天气则约跑自动取消） ,2017-03-08 22:05,,,4
happy滴大竹崽,送给最近辛苦的自己送走心里的雾霾愿自己在这平凡的日子里找到快乐 ,2017-03-08 21:47,,10,10
用户夜雨2165191147,前方虽“雾霾笼罩”，我一直信您加油小周！打爆一切 ,2017-03-08 21:35,1,1,14
ztt晚安安,发表了博文《我想要的生活—写给黄先生》你下了班的时候，应该已经是满天的星辰，也许在北京的雾霾天里并不能清楚的看到，但是又是一个披星戴月亮的晚上。下了地铁，正好有个急于收摊的花贩，一把把一束束的玫瑰或者|我想要的生... ,2017-03-08 20:53,,3,3
徐纲新微博,转发（为思想做主的李刚）微博：六十多年了，匪还是匪，流氓还是流氓，一直都不曾改变过。。。。昨天是美国颠覆，今天是日本颠覆，明天一准是不明敌对势力来颠覆，搞不懂人家来颠覆中国干什么？颠覆你的雾霾？颠覆你的毒食品？还是来颠覆被你挖掘一空的资源？中国百姓都活成这熊样了，还怕谁来颠覆？假 ,2017-03-08 20:49,7,1,7
无人道强势围观,人生路漫长而波折！【精选絮语】……放手所有的不良情绪，给岁月一份理解：不一定都能事事如愿！但却要记得时时心宽：走出一个无悔的人生！活着的每一天一定是阳光的，但不要为了一己之怨而雾霾了整个春天 ,2017-03-08 20:36,2,1,
山东环境,【为灰霾治理提供科技支撑】中国科学院院长、党组书记白春礼表示，媒体上讲到灰霾现象时往往都用“雾霾”，这是约定俗成的词。其实，雾和霾是两种不同的现象。从科学上讲，我们重点研究的还是霾，所以我们的专项是叫“灰霾”。各地区的灰霾成因各不一样，各个季节也不一样。|为灰霾治理... ,2017-03-08 20:25,29,15,12
陈艳丽-淡泊明志,很喜欢在晴朗的夜空下遥望点点繁星，一个是在雾霾严重的北方晴天难得，一个是一闪一闪的繁星给人很多美丽的遐想。美丽的星星中流星会给我们稍纵即逝的滑落之美，还听说，若能看着一颗流星许愿便可以心想事成，这也给它散发出的美加分不少；星空中还有一种星叫恒星，恒星的光辉才是构成了浩瀚星空的关键 ,2017-03-08 20:13,,6,3
